ASCII SCAN ANALOG DATA:			hmnez3.sac
DATE:	4/26/2012	TIME:	09:45:49 PM

Number of stored SCA cycles			1
Converted SCA cycle			1

INFO SCAN:		1
Data Titel	Countrate
Data Unit	cps
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  0.00
Scan Width	47
Values/Mass	64
Zoom Start	  0.00
Zoom End	 47.00

INFO ADDI DATA:		1
Title	Energy
Unit	eV
Comment	

Cycle	CycleDate	CycleTime	
1	4/26/2012	09:45:49 PM:78
AddiData	1
-1.5
ScanData	1
   0.00	0
   0.02	0
   0.03	0
   0.05	0
   0.06	0
   0.08	0.11709
   0.09	0.29464
   0.11	0.520037
   0.13	0.777895
   0.14	1.04772
   0.16	1.30797
   0.17	1.53997
   0.19	1.73073
   0.20	1.87368
   0.22	1.96751
   0.23	2.01364
   0.25	2.01364
   0.27	1.96751
   0.28	1.87368
   0.30	1.73073
   0.31	1.53997
   0.33	1.30797
   0.34	1.04772
   0.36	0.777895
   0.38	0.520037
   0.39	0.29464
   0.41	0.11709
   0.42	0
   0.44	0
   0.45	0
   0.47	0
   0.48	0
   0.50	0
   0.52	0
   0.53	0
   0.55	0
   0.56	0
   0.58	0
   0.59	0
   0.61	0
   0.63	0
   0.64	0
   0.66	0
   0.67	0
   0.69	3.21383E-017
   0.70	0.135024
   0.72	0.333715
   0.73	0.585783
   0.75	0.867772
   0.77	1.14587
   0.78	1.38172
   0.80	1.53997
   0.81	1.5957
   0.83	1.53997
   0.84	1.38172
   0.86	1.14587
   0.88	0.867772
   0.89	0.585783
   0.91	0.333715
   0.92	0.135024
   0.94	3.21383E-017
   0.95	0
   0.97	0
   0.98	0
   1.00	0
   1.02	0
   1.03	0
   1.05	0
   1.06	0
   1.08	0
   1.09	3.21383E-017
   1.11	0.135024
   1.13	0.333715
   1.14	0.585783
   1.16	0.862556
   1.17	1.12794
   1.19	1.34265
   1.20	1.47422
   1.22	1.50582
   1.23	1.44182
   1.25	1.30797
   1.27	1.14587
   1.28	1.0028
   1.30	0.919498
   1.31	0.919498
   1.33	1.0028
   1.34	1.14587
   1.36	1.30797
   1.38	1.44182
   1.39	1.50582
   1.41	1.47422
   1.42	1.34265
   1.44	1.12794
   1.45	0.862556
   1.47	0.585783
   1.48	0.333715
   1.50	0.135024
   1.52	3.06814E-017
   1.53	0
   1.55	0
   1.56	0
   1.58	0
   1.59	0
   1.61	0
   1.63	0
   1.64	3.06814E-017
   1.66	0.135024
   1.67	0.333715
   1.69	0.585783
   1.70	0.862556
   1.72	1.12794
   1.73	1.34265
   1.75	1.47422
   1.77	1.50582
   1.78	1.44182
   1.80	1.30797
   1.81	1.14587
   1.83	1.0028
   1.84	0.919498
   1.86	0.919498
   1.88	1.0028
   1.89	1.14587
   1.91	1.30797
   1.92	1.44182
   1.94	1.50582
   1.95	1.47422
   1.97	1.34265
   1.98	1.12794
   2.00	0.862556
   2.02	0.585783
   2.03	0.333715
   2.05	0.135024
   2.06	3.21383E-017
   2.08	0
   2.09	0
   2.11	0
   2.13	0
   2.14	0
   2.16	0
   2.17	0
   2.19	0
   2.20	0
   2.22	0
   2.23	0
   2.25	0
   2.27	0
   2.28	0
   2.30	0
   2.31	0
   2.33	0
   2.34	0
   2.36	0
   2.38	0
   2.39	0
   2.41	0
   2.42	0
   2.44	0
   2.45	0
   2.47	0
   2.48	0
   2.50	0
   2.52	0
   2.53	0
   2.55	0
   2.56	0
   2.58	0
   2.59	0
   2.61	0
   2.63	0
   2.64	0
   2.66	0
   2.67	0
   2.69	0
   2.70	0
   2.72	0
   2.73	0
   2.75	0
   2.77	0
   2.78	0
   2.80	0
   2.81	0
   2.83	0
   2.84	0
   2.86	0
   2.88	0
   2.89	0
   2.91	0
   2.92	0
   2.94	0
   2.95	0
   2.97	0
   2.98	0
   3.00	0
   3.02	0
   3.03	0
   3.05	0
   3.06	0
   3.08	0
   3.09	0
   3.11	0
   3.13	0
   3.14	0
   3.16	0
   3.17	0
   3.19	0
   3.20	0
   3.22	0
   3.23	0
   3.25	0
   3.27	0
   3.28	0
   3.30	0
   3.31	0
   3.33	0
   3.34	0
   3.36	0
   3.38	0
   3.39	0
   3.41	0
   3.42	0
   3.44	0
   3.45	0
   3.47	0
   3.48	0
   3.50	0
   3.52	0
   3.53	0
   3.55	0
   3.56	0
   3.58	0
   3.59	0
   3.61	0
   3.63	0
   3.64	0
   3.66	0
   3.67	0
   3.69	0
   3.70	0
   3.72	0
   3.73	0
   3.75	0
   3.77	0
   3.78	0
   3.80	0
   3.81	0
   3.83	0
   3.84	0
   3.86	0
   3.88	0
   3.89	0
   3.91	0
   3.92	0
   3.94	0
   3.95	0
   3.97	0
   3.98	0
   4.00	0
   4.02	0
   4.03	0
   4.05	0
   4.06	0
   4.08	0
   4.09	0
   4.11	0
   4.13	0
   4.14	0
   4.16	0
   4.17	0
   4.19	0
   4.20	0
   4.22	0
   4.23	0
   4.25	0
   4.27	0
   4.28	0
   4.30	0
   4.31	0
   4.33	0
   4.34	0
   4.36	0
   4.38	0
   4.39	0
   4.41	0
   4.42	0
   4.44	0
   4.45	0
   4.47	0
   4.48	0
   4.50	0
   4.52	0
   4.53	0
   4.55	0
   4.56	0
   4.58	0
   4.59	0
   4.61	0
   4.63	0
   4.64	0
   4.66	0
   4.67	0
   4.69	0
   4.70	0
   4.72	0
   4.73	0
   4.75	0
   4.77	0
   4.78	0
   4.80	0
   4.81	0
   4.83	0
   4.84	0
   4.86	0
   4.88	0
   4.89	0
   4.91	0
   4.92	0
   4.94	0
   4.95	0
   4.97	0
   4.98	0
   5.00	0
   5.02	0
   5.03	0
   5.05	0
   5.06	0
   5.08	0
   5.09	0
   5.11	0
   5.13	0
   5.14	0
   5.16	0
   5.17	0
   5.19	0
   5.20	0
   5.22	0
   5.23	0
   5.25	0
   5.27	0
   5.28	0
   5.30	0
   5.31	0
   5.33	0
   5.34	0
   5.36	0
   5.38	0
   5.39	0
   5.41	0
   5.42	0
   5.44	0
   5.45	0
   5.47	0
   5.48	0
   5.50	0
   5.52	0
   5.53	0
   5.55	0
   5.56	0
   5.58	0
   5.59	0
