ASCII SCAN ANALOG DATA:			smaz.sac
DATE:	4/26/2012	TIME:	08:12:19 PM

Number of stored SCA cycles			1
Converted SCA cycle			1

INFO SCAN:		1
Data Titel	Countrate
Data Unit	cps
Scan Titel	Energy
Scan Unit	eV
Comment	
First Mass	 81.00
Scan Width	5
Values/Mass	64
Zoom Start	 81.00
Zoom End	 86.00

INFO ADDI DATA:		1
Title	Mass
Unit	amu
Comment	

Cycle	CycleDate	CycleTime	
1	4/26/2012	08:12:19 PM:14
AddiData	1
28
ScanData	1
  81.00	0
  81.02	0
  81.03	0
  81.05	0
  81.06	0
  81.08	0
  81.09	0
  81.11	0
  81.13	0
  81.14	0
  81.16	0
  81.17	0
  81.19	0
  81.20	0
  81.22	0
  81.23	0
  81.25	0
  81.27	0
  81.28	0
  81.30	0
  81.31	0
  81.33	0
  81.34	0
  81.36	0
  81.38	0
  81.39	0
  81.41	0
  81.42	0
  81.44	0
  81.45	0
  81.47	0
  81.48	0
  81.50	0
  81.52	0
  81.53	0
  81.55	0
  81.56	0
  81.58	0
  81.59	0
  81.61	0
  81.63	0
  81.64	0
  81.66	0
  81.67	0
  81.69	0
  81.70	0
  81.72	0
  81.73	0
  81.75	0
  81.77	0
  81.78	0
  81.80	0
  81.81	0
  81.83	0
  81.84	0
  81.86	0
  81.88	0
  81.89	0
  81.91	0
  81.92	0
  81.94	0
  81.95	0
  81.97	0
  81.98	0
  82.00	0
  82.02	0
  82.03	0
  82.05	0
  82.06	0
  82.08	0
  82.09	0
  82.11	0
  82.13	0
  82.14	0
  82.16	0
  82.17	0
  82.19	0
  82.20	0
  82.22	0
  82.23	0
  82.25	0
  82.27	0
  82.28	0
  82.30	0
  82.31	0
  82.33	0
  82.34	0
  82.36	0
  82.38	0
  82.39	0
  82.41	0
  82.42	0
  82.44	0
  82.45	0
  82.47	0
  82.48	0
  82.50	0
  82.52	0
  82.53	0
  82.55	0
  82.56	0
  82.58	0
  82.59	0
  82.61	0
  82.63	0
  82.64	0
  82.66	0
  82.67	0
  82.69	0
  82.70	0
  82.72	0
  82.73	0
  82.75	0
  82.77	0
  82.78	0
  82.80	0
