"smaz.lda"
"Scan 1"
"Potential / V";"Current / A"
-19,6085;-8,83e-05
-19,5903;-8,81e-05
-19,5752;-9,08e-05
-19,5507;-8,66e-05
-19,5257;-8,62e-05
-19,5005;-8,83e-05
-19,4789;-8,81e-05
-19,4539;-8,81e-05
-19,4256;-8,75e-05
-19,4006;-8,77e-05
-19,3757;-8,64e-05
-19,354;-8,72e-05
-19,3256;-8,74e-05
-19,3073;-8,85e-05
-19,2758;-8,53e-05
-19,254;-8,75e-05
-19,2325;-8,66e-05
-19,2041;-8,66e-05
-19,1824;-8,74e-05
-19,154;-8,77e-05
-19,1358;-8,79e-05
-19,1074;-8,72e-05
-19,0856;-8,96e-05
-19,0642;-8,68e-05
-19,0324;-8,74e-05
-19,0074;-8,7e-05
-18,979;-8,7e-05
-18,9574;-8,72e-05
-18,929;-8,7e-05
-18,9142;-8,66e-05
-18,8791;-8,68e-05
-18,8505;-8,85e-05
-18,8324;-8,74e-05
-18,7904;-8,74e-05
-18,7859;-8,68e-05
-18,7506;-8,79e-05
-18,729;-8,77e-05
-18,7075;-8,66e-05
-18,679;-8,72e-05
-18,6575;-8,64e-05
-18,636;-8,53e-05
-18,6074;-8,7e-05
-18,5824;-8,7e-05
-18,554;-8,7e-05
-18,5325;-8,64e-05
-18,5075;-8,64e-05
-18,4757;-8,66e-05
-18,4606;-8,89e-05
-18,4323;-8,83e-05
-18,4108;-8,79e-05
-18,3826;-8,51e-05
-18,3574;-8,75e-05
-18,3358;-8,79e-05
-18,3109;-8,64e-05
-18,2825;-8,62e-05
-18,2609;-8,62e-05
-18,2358;-8,7e-05
-18,2076;-8,53e-05
-18,1827;-8,41e-05
-18,154;-8,77e-05
-18,1358;-8,7e-05
-18,1076;-8,55e-05
-18,0825;-8,66e-05
-18,0608;-8,77e-05
-18,0357;-8,85e-05
-18,0109;-8,68e-05
-17,9826;-8,58e-05
-17,9572;-8,91e-05
-17,9293;-8,45e-05
-17,9141;-8,77e-05
-17,8859;-8,68e-05
-17,8507;-8,66e-05
-17,8359;-8,66e-05
-17,8075;-8,6e-05
-17,7793;-8,47e-05
-17,7572;-8,91e-05
-17,7393;-8,55e-05
-17,7008;-8,6e-05
-17,6822;-8,94e-05
-17,6641;-8,72e-05
-17,6326;-8,51e-05
-17,6076;-8,57e-05
-17,5856;-8,96e-05
-17,5609;-8,62e-05
-17,5325;-8,62e-05
-17,5109;-8,68e-05
-17,4859;-8,68e-05
-17,4541;-8,62e-05
-17,4291;-8,64e-05
-17,4073;-8,81e-05
-17,389;-8,81e-05
-17,3608;-8,7e-05
-17,3358;-8,72e-05
-17,3041;-8,62e-05
-17,2856;-8,91e-05
-17,2577;-8,45e-05
-17,2257;-8,66e-05
-17,1973;-8,68e-05
-17,189;-8,87e-05
-17,1544;-8,32e-05
-17,1257;-8,6e-05
-17,1072;-8,89e-05
-17,0892;-8,68e-05
-17,0543;-8,45e-05
-17,0325;-8,6e-05
-17,0074;-8,74e-05
-16,9858;-8,79e-05
-16,9574;-8,7e-05
-16,9325;-8,68e-05
-16,9143;-8,57e-05
-16,8826;-8,57e-05
-16,8574;-8,72e-05
-16,8395;-8,36e-05
-16,8045;-8,26e-05
-16,7825;-8,68e-05
-16,7574;-8,75e-05
-16,7292;-8,58e-05
-16,7076;-8,51e-05
-16,6824;-8,74e-05
-16,6641;-8,74e-05
-16,636;-8,6e-05
-16,6075;-8,62e-05
-16,5857;-8,85e-05
-16,5642;-8,62e-05
-16,5359;-8,66e-05
-16,5041;-8,66e-05
-16,4857;-8,83e-05
-16,461;-8,51e-05
-16,4325;-8,6e-05
-16,4042;-8,6e-05
-16,3891;-8,77e-05
-16,3611;-8,45e-05
-16,3329;-8,3e-05
-16,3072;-8,91e-05
-16,2893;-8,57e-05
-16,2577;-8,49e-05
-16,2291;-8,64e-05
-16,2108;-8,72e-05
-16,1826;-8,57e-05
-16,1608;-8,75e-05
-16,1359;-8,66e-05
-16,1074;-8,72e-05
-16,0758;-8,57e-05
-16,0606;-8,93e-05
-16,0361;-8,41e-05
-16,0111;-8,43e-05
-15,9822;-8,94e-05
-15,9641;-8,7e-05
-15,9359;-8,6e-05
-15,9076;-8,55e-05
-15,8824;-8,74e-05
-15,8575;-8,66e-05
-15,8326;-8,58e-05
-15,8074;-8,7e-05
-15,786;-8,57e-05
-15,761;-8,57e-05
-15,7358;-8,74e-05
-15,7143;-8,55e-05
-15,6793;-8,45e-05
-15,6607;-8,87e-05
-15,6324;-8,75e-05
-15,6038;-8,93e-05
-15,5891;-8,74e-05
-15,5642;-8,64e-05
-15,536;-8,57e-05
-15,5042;-8,51e-05
-15,4825;-8,64e-05
-15,4576;-8,51e-05
-15,4324;-8,7e-05
-15,4074;-8,77e-05
-15,3893;-8,53e-05
-15,3542;-8,55e-05
-15,3323;-8,83e-05
-15,3108;-8,74e-05
-15,286;-8,53e-05
-15,2577;-8,43e-05
-15,2325;-8,68e-05
-15,2074;-8,7e-05
-15,1793;-8,49e-05
-15,1576;-8,57e-05
-15,1291;-8,66e-05
-15,1108;-8,74e-05
-15,0924;-8,81e-05
-15,058;-8,19e-05
-15,0258;-8,53e-05
-15,0074;-8,79e-05
-14,9893;-8,51e-05
-14,9576;-8,57e-05
-14,9292;-8,57e-05
-14,9108;-8,75e-05
-14,8826;-8,58e-05
-14,861;-8,57e-05
-14,8361;-8,43e-05
-14,8008;-8,6e-05
-14,7858;-8,77e-05
-14,7577;-8,49e-05
-14,7324;-8,7e-05
-14,7077;-8,49e-05
-14,679;-8,7e-05
-14,6574;-8,7e-05
-14,636;-8,57e-05
-14,6077;-8,47e-05
-14,586;-8,58e-05
-14,5576;-8,6e-05
-14,5325;-8,62e-05
-14,5075;-8,66e-05
-14,4826;-8,57e-05
-14,4576;-8,57e-05
-14,4325;-8,68e-05
-14,4074;-8,74e-05
-14,3858;-8,79e-05
-14,361;-8,53e-05
-14,3294;-8,39e-05
-14,3076;-8,58e-05
-14,2759;-8,45e-05
-14,2575;-8,68e-05
-14,2291;-8,62e-05
-14,2075;-8,62e-05
-14,1826;-8,51e-05
-14,1574;-8,77e-05
-14,1358;-8,75e-05
-14,1041;-8,68e-05
-14,0859;-8,64e-05
-14,0611;-8,43e-05
-14,0293;-8,41e-05
-14,0043;-8,45e-05
-13,979;-8,7e-05
-13,9609;-8,6e-05
-13,9325;-8,68e-05
-13,9041;-8,64e-05
-13,886;-8,6e-05
-13,8544;-8,41e-05
-13,8327;-8,49e-05
-13,8108;-8,75e-05
-13,7859;-8,64e-05
-13,7577;-8,45e-05
-13,7259;-8,43e-05
-13,7108;-8,74e-05
-13,6826;-8,51e-05
-13,6509;-8,45e-05
-13,629;-8,75e-05
-13,6139;-8,89e-05
-13,5826;-8,55e-05
-13,5542;-8,6e-05
-13,5359;-8,6e-05
-13,5111;-8,43e-05
-13,4793;-8,49e-05
-13,4575;-8,68e-05
-13,4324;-8,79e-05
-13,4077;-8,49e-05
-13,3793;-8,41e-05
-13,3542;-8,57e-05
-13,3358;-8,7e-05
-13,3141;-8,7e-05
-13,2828;-8,38e-05
-13,2475;-8,45e-05
-13,2292;-8,58e-05
-13,2076;-8,55e-05
-13,186;-8,57e-05
-13,1576;-8,53e-05
-13,1325;-8,62e-05
-13,111;-8,51e-05
-13,0826;-8,51e-05
-13,0576;-8,57e-05
-13,0292;-8,57e-05
-13,0042;-8,58e-05
-12,9824;-8,72e-05
-12,9578;-8,34e-05
-12,936;-8,55e-05
-12,9043;-8,43e-05
-12,879;-8,74e-05
-12,8642;-8,6e-05
-12,836;-8,57e-05
-12,8112;-8,38e-05
-12,7824;-8,75e-05
-12,761;-8,55e-05
-12,7294;-8,39e-05
-12,7008;-8,58e-05
