11.11.2011	9:22:01
A
Mass	Value
0,000	-3,619957E-14
0,031	-2,299740E-14
0,063	-1,519637E-14
0,094	-1,136498E-14
0,125	-9,767940E-15
0,156	-1,103893E-14
0,188	-1,734206E-14
0,219	-2,932273E-14
0,250	-4,373826E-14
0,281	-5,535728E-14
0,313	-6,152474E-14
0,344	-6,315354E-14
0,375	-6,213573E-14
0,406	-5,969118E-14
0,438	-5,629021E-14
0,469	-5,221967E-14
0,500	-4,841407E-14
0,531	-4,583403E-14
0,563	-4,400970E-14
0,594	-4,223773E-14
0,625	-4,177889E-14
0,656	-4,398285E-14
0,688	-4,673384E-14
0,719	-4,316102E-14
0,750	-1,766112E-14
0,781	6,284612E-14
0,813	2,522010E-13
0,844	6,116439E-13
0,875	1,179520E-12
0,906	1,936588E-12
0,938	2,791788E-12
0,969	3,615475E-12
1,000	4,309114E-12
1,031	4,849752E-12
1,063	5,270199E-12
1,094	5,604628E-12
1,125	5,849234E-12
1,156	5,962629E-12
1,188	5,896928E-12
1,219	5,629483E-12
1,250	5,177970E-12
1,281	4,598454E-12
1,313	3,955566E-12
1,344	3,272190E-12
1,375	2,528263E-12
1,406	1,739708E-12
1,438	1,012492E-12
1,469	4,768624E-13
1,500	1,795546E-13
1,531	6,799862E-14
1,563	5,969189E-14
1,594	9,702321E-14
1,625	1,523117E-13
1,656	2,146622E-13
1,688	2,807241E-13
1,719	3,493575E-13
1,750	4,186064E-13
1,781	4,851735E-13
1,813	5,454087E-13
1,844	5,966949E-13
1,875	6,381196E-13
1,906	6,694371E-13
1,938	6,894122E-13
1,969	6,957621E-13
2,000	6,874042E-13
2,031	6,670261E-13
2,063	6,401841E-13
2,094	6,105757E-13
2,125	5,768613E-13
2,156	5,347943E-13
2,188	4,824259E-13
2,219	4,240695E-13
2,250	3,687619E-13
2,281	3,227512E-13
2,313	2,838963E-13
2,344	2,444734E-13
2,375	1,976753E-13
2,406	1,414585E-13
2,438	8,048010E-14
2,469	2,585501E-14
2,500	-1,152844E-14
2,531	-2,994863E-14
2,563	-3,692413E-14
2,594	-4,063568E-14
2,625	-4,395932E-14
2,656	-4,601642E-14
2,688	-4,596238E-14
2,719	-4,449607E-14
2,750	-4,332810E-14
2,781	-4,357420E-14
2,813	-4,481362E-14
2,844	-4,622088E-14
2,875	-4,775096E-14
2,906	-4,957856E-14
2,938	-5,127826E-14
2,969	-5,220486E-14
3,000	-5,210296E-14
3,031	-5,104291E-14
3,063	-4,938797E-14
3,094	-4,776511E-14
3,125	-4,681093E-14
3,156	-4,705119E-14
3,188	-4,826728E-14
3,219	-4,904921E-14
3,250	-4,838517E-14
3,281	-4,708242E-14
3,313	-4,620612E-14
3,344	-4,519441E-14
3,375	-4,284349E-14
3,406	-3,959646E-14
3,438	-3,769820E-14
3,469	-3,868451E-14
3,500	-4,142601E-14
3,531	-4,365620E-14
3,563	-4,498159E-14
3,594	-4,665792E-14
3,625	-4,862227E-14
3,656	-4,913984E-14
3,688	-4,773750E-14
3,719	-4,615675E-14
3,750	-4,576514E-14
3,781	-4,598966E-14
3,813	-4,590163E-14
3,844	-4,554425E-14
3,875	-4,521106E-14
3,906	-4,505717E-14
3,938	-4,574579E-14
3,969	-4,798083E-14
4,000	-5,121119E-14
4,031	-5,395726E-14
4,063	-5,500091E-14
4,094	-5,370928E-14
4,125	-5,070129E-14
4,156	-4,830043E-14
4,188	-4,850846E-14
4,219	-5,062963E-14
4,250	-5,207684E-14
4,281	-5,133864E-14
4,313	-4,933760E-14
4,344	-4,807924E-14
4,375	-4,853355E-14
4,406	-4,975295E-14
4,438	-4,999481E-14
4,469	-4,849006E-14
4,500	-4,592825E-14
4,531	-4,360755E-14
4,563	-4,233455E-14
4,594	-4,188144E-14
4,625	-4,131035E-14
4,656	-3,988871E-14
4,688	-3,759958E-14
4,719	-3,486429E-14
4,750	-3,231358E-14
4,781	-3,062639E-14
4,813	-2,998222E-14
4,844	-2,970105E-14
4,875	-2,895800E-14
4,906	-2,796745E-14
4,938	-2,769430E-14
4,969	-2,862721E-14
5,000	-3,051156E-14
5,031	-3,244129E-14
5,063	-3,306043E-14
5,094	-3,188966E-14
5,125	-3,040668E-14
5,156	-3,074702E-14
5,188	-3,312916E-14
5,219	-3,535849E-14
5,250	-3,525991E-14
5,281	-3,321817E-14
5,313	-3,184379E-14
5,344	-3,286021E-14
5,375	-3,492839E-14
5,406	-3,518538E-14
5,438	-3,262630E-14
