#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-540.18136 0.00000 0.00009 0.00005 0.00014
-540.16136 0.00000 0.00011 0.00006 0.00017
-540.14136 0.00000 0.00013 0.00007 0.00019
-540.12136 0.00000 0.00015 0.00008 0.00023
-540.10136 0.00000 0.00017 0.00009 0.00026
-540.08136 0.00000 0.00019 0.00011 0.00030
-540.06136 0.00000 0.00022 0.00013 0.00035
-540.04136 0.00000 0.00026 0.00015 0.00040
-540.02136 0.00000 0.00029 0.00017 0.00046
-540.00136 0.00000 0.00034 0.00020 0.00053
-539.98136 0.00000 0.00038 0.00023 0.00061
-539.96136 0.00000 0.00044 0.00026 0.00070
-539.94136 0.00000 0.00049 0.00030 0.00079
-539.92136 0.00000 0.00056 0.00034 0.00090
-539.90136 0.00000 0.00063 0.00039 0.00102
-539.88136 0.00000 0.00071 0.00044 0.00115
-539.86136 0.00000 0.00080 0.00050 0.00130
-539.84136 0.00000 0.00090 0.00057 0.00147
-539.82136 0.00000 0.00100 0.00065 0.00165
-539.80136 0.00000 0.00112 0.00073 0.00185
-539.78136 0.00000 0.00125 0.00083 0.00207
-539.76136 0.00000 0.00138 0.00093 0.00232
-539.74136 0.00000 0.00153 0.00105 0.00258
-539.72136 0.00000 0.00170 0.00118 0.00287
-539.70136 0.00000 0.00187 0.00132 0.00319
-539.68136 0.00000 0.00206 0.00148 0.00353
-539.66136 0.00000 0.00226 0.00165 0.00391
-539.64136 0.00000 0.00247 0.00184 0.00431
-539.62136 0.00000 0.00270 0.00205 0.00475
-539.60136 0.00000 0.00294 0.00228 0.00522
-539.58136 0.00000 0.00320 0.00253 0.00573
-539.56136 0.00000 0.00347 0.00281 0.00628
-539.54136 0.00000 0.00376 0.00311 0.00686
-539.52136 0.00000 0.00405 0.00343 0.00749
-539.50136 0.00000 0.00437 0.00379 0.00815
-539.48136 0.00000 0.00469 0.00417 0.00887
-539.46136 0.00000 0.00503 0.00459 0.00962
-539.44136 0.00000 0.00538 0.00505 0.01043
-539.42136 0.00000 0.00574 0.00554 0.01128
