ASCII SCAN ANALOG DATA:			h2_5e.sac
DATE:	4/26/2012	TIME:	10:15:11 PM

Number of stored SCA cycles			1
Converted SCA cycle			1

INFO SCAN:		1
Data Titel	Countrate
Data Unit	cps
Scan Titel	Energy
Scan Unit	eV
Comment	
First Mass	-10.00
Scan Width	11
Values/Mass	64
Zoom Start	-10.00
Zoom End	  1.00

INFO ADDI DATA:		1
Title	Mass
Unit	amu
Comment	

Cycle	CycleDate	CycleTime	
1	4/26/2012	10:15:11 PM:79
AddiData	1
2
ScanData	1
 -10.00	1567.5
  -9.98	1599.49
  -9.97	1759.44
  -9.95	2495.2
  -9.94	2111.32
  -9.92	2271.27
  -9.91	2527.19
  -9.89	2591.17
  -9.88	2431.22
  -9.86	2431.22
  -9.84	2783.11
  -9.83	2943.06
  -9.81	3198.98
  -9.80	3103.01
  -9.78	3678.82
  -9.77	3582.85
  -9.75	3582.85
  -9.73	4670.51
  -9.72	4094.69
  -9.70	4702.5
  -9.69	3902.75
  -9.67	4990.4
  -9.66	4862.45
  -9.64	6333.98
  -9.63	6557.9
  -9.61	6174.03
  -9.59	6941.78
  -9.58	7261.68
  -9.56	8637.24
  -9.55	9085.1
  -9.53	9468.97
  -9.52	8765.2
  -9.50	11196.4
  -9.48	10588.6
  -9.47	12124.1
  -9.45	12316.1
  -9.44	14299.4
  -9.42	14811.3
  -9.41	17274.5
  -9.39	17978.3
  -9.38	18969.9
  -9.36	20217.5
  -9.34	23352.5
  -9.33	24792.1
  -9.31	26007.7
  -9.30	27831.1
  -9.28	30774.2
  -9.27	33557.3
  -9.25	33717.2
  -9.23	37204.1
  -9.22	41074.9
  -9.20	42898.3
  -9.19	43794
  -9.17	47984.7
  -9.16	50927.7
  -9.14	54990.4
  -9.13	57165.7
  -9.11	64427.4
  -9.09	67178.5
  -9.08	72264.9
  -9.06	74760.1
  -9.05	77831.1
  -9.03	85668.6
  -9.02	91330.8
  -9.00	92066.6
  -8.98	95489.5
  -8.97	96481.2
  -8.95	104703
  -8.94	108285
  -8.92	110621
  -8.91	117786
  -8.89	119450
  -8.88	121657
  -8.86	127159
  -8.84	128695
