ASCII SCAN ANALOG DATA:			h2_12.sac
DATE:	4/26/2012	TIME:	09:27:11 PM

Number of stored SCA cycles			1
Converted SCA cycle			1

INFO SCAN:		1
Data Titel	Countrate
Data Unit	cps
Scan Titel	Energy
Scan Unit	eV
Comment	
First Mass	-10.00
Scan Width	25
Values/Mass	64
Zoom Start	-10.00
Zoom End	 15.00

INFO ADDI DATA:		1
Title	Mass
Unit	amu
Comment	

Cycle	CycleDate	CycleTime	
1	4/26/2012	09:27:11 PM:72
AddiData	1
2
ScanData	1
 -10.00	31.9898
  -9.98	63.9795
  -9.97	31.9898
  -9.95	0
  -9.94	31.9898
  -9.92	127.959
  -9.91	95.9693
  -9.89	63.9795
  -9.88	95.9693
  -9.86	63.9795
  -9.84	31.9898
  -9.83	63.9795
  -9.81	95.9693
  -9.80	63.9795
  -9.78	63.9795
  -9.77	31.9898
  -9.75	159.949
  -9.73	0
  -9.72	95.9693
  -9.70	63.9795
  -9.69	127.959
  -9.67	95.9693
  -9.66	127.959
  -9.64	191.939
  -9.63	63.9795
  -9.61	95.9693
  -9.59	63.9795
  -9.58	159.949
  -9.56	31.9898
  -9.55	159.949
  -9.53	191.939
  -9.52	223.928
  -9.50	95.9693
  -9.48	223.928
  -9.47	287.908
  -9.45	0
  -9.44	191.939
  -9.42	191.939
  -9.41	255.918
  -9.39	159.949
  -9.38	287.908
  -9.36	191.939
  -9.34	191.939
  -9.33	319.898
  -9.31	223.928
  -9.30	255.918
  -9.28	255.918
  -9.27	191.939
  -9.25	447.857
  -9.23	383.877
  -9.22	383.877
  -9.20	319.898
  -9.19	703.775
  -9.17	255.918
  -9.16	671.785
  -9.14	479.847
  -9.13	575.816
  -9.11	639.795
  -9.09	607.806
  -9.08	479.847
  -9.06	1119.64
  -9.05	767.755
  -9.03	479.847
  -9.02	1023.67
  -9.00	479.847
  -8.98	991.683
  -8.97	927.703
  -8.95	1023.67
  -8.94	735.765
  -8.92	863.724
  -8.91	1183.62
  -8.89	1407.55
  -8.88	1791.43
  -8.86	1343.57
  -8.84	1663.47
  -8.83	1567.5
  -8.81	1279.59
  -8.80	1791.43
