11.11.2011	9:44:14
A
Mass	Value
0,000	1,513366E-12
0,031	8,605406E-13
0,063	4,991416E-13
0,094	3,704584E-13
0,125	3,723527E-13
0,156	5,049183E-13
0,188	8,703060E-13
0,219	1,527382E-12
0,250	2,325979E-12
0,281	2,982364E-12
0,313	3,345916E-12
0,344	3,479942E-12
0,375	3,512545E-12
0,406	3,520369E-12
0,438	3,526317E-12
0,469	3,531174E-12
0,500	3,531932E-12
0,531	3,524723E-12
0,563	3,502562E-12
0,594	3,457866E-12
0,625	3,390507E-12
0,656	3,311746E-12
0,688	3,240004E-12
0,719	3,201421E-12
0,750	3,248718E-12
0,781	3,489133E-12
0,813	4,082963E-12
0,844	5,182664E-12
0,875	6,843544E-12
0,906	8,961692E-12
0,938	1,128892E-11
0,969	1,357643E-11
1,000	1,575330E-11
1,031	1,793206E-11
1,063	2,024478E-11
1,094	2,269194E-11
1,125	2,509677E-11
1,156	2,717385E-11
1,188	2,867702E-11
1,219	2,949745E-11
1,250	2,961593E-11
1,281	2,897808E-11
1,313	2,740797E-11
1,344	2,461636E-11
1,375	2,038981E-11
1,406	1,500880E-11
1,438	9,502679E-12
1,469	5,173874E-12
1,500	2,724293E-12
1,531	1,964385E-12
1,563	2,265569E-12
1,594	3,070848E-12
1,625	4,059672E-12
1,656	5,092379E-12
1,688	6,123184E-12
1,719	7,139673E-12
1,750	8,133452E-12
1,781	9,090280E-12
1,813	9,971151E-12
1,844	1,070018E-11
1,875	1,121461E-11
1,906	1,153009E-11
1,938	1,171919E-11
1,969	1,184132E-11
2,000	1,191865E-11
2,031	1,195323E-11
2,063	1,193983E-11
2,094	1,186598E-11
2,125	1,171507E-11
2,156	1,148138E-11
2,188	1,118866E-11
2,219	1,088068E-11
2,250	1,056593E-11
2,281	1,018314E-11
2,313	9,642500E-12
2,344	8,858253E-12
2,375	7,722318E-12
2,406	6,156049E-12
2,438	4,286010E-12
2,469	2,490577E-12
2,500	1,154193E-12
2,531	3,960175E-13
2,563	7,344901E-14
2,594	-2,489523E-14
2,625	-4,138852E-14
2,656	-3,661748E-14
2,688	-2,798829E-14
2,719	-1,923445E-14
2,750	-1,146981E-14
2,781	-5,277522E-15
2,813	-6,253326E-16
2,844	3,169331E-15
2,875	6,956408E-15
2,906	1,119633E-14
2,938	1,560088E-14
2,969	1,933508E-14
3,000	2,210237E-14
3,031	2,455722E-14
3,063	2,712248E-14
3,094	2,931468E-14
3,125	3,062354E-14
3,156	3,121798E-14
3,188	3,173826E-14
3,219	3,289367E-14
3,250	3,522945E-14
3,281	3,917526E-14
3,313	4,494697E-14
3,344	5,192935E-14
3,375	5,818690E-14
3,406	6,116890E-14
3,438	5,988883E-14
3,469	5,657346E-14
3,500	5,520994E-14
3,531	5,779887E-14
3,563	6,236897E-14
3,594	6,526406E-14
3,625	6,478426E-14
3,656	6,178285E-14
3,688	5,775821E-14
3,719	5,367210E-14
3,750	5,009953E-14
3,781	4,754297E-14
3,813	4,653239E-14
3,844	4,720296E-14
3,875	4,870035E-14
3,906	4,981774E-14
3,938	5,019430E-14
3,969	5,020165E-14
4,000	5,014039E-14
4,031	5,031637E-14
4,063	5,127973E-14
4,094	5,302420E-14
4,125	5,473353E-14
4,156	5,638265E-14
4,188	5,914384E-14
4,219	6,292814E-14
4,250	6,532583E-14
4,281	6,438967E-14
4,313	6,116050E-14
4,344	5,832768E-14
4,375	5,717157E-14
4,406	5,668716E-14
4,438	5,518350E-14
4,469	5,214409E-14
4,500	4,892189E-14
4,531	4,765242E-14
4,563	4,910514E-14
4,594	5,162195E-14
4,625	5,234861E-14
4,656	4,983154E-14
4,688	4,518562E-14
4,719	4,028514E-14
4,750	3,596308E-14
4,781	3,266167E-14
4,813	3,103839E-14
4,844	3,103891E-14
4,875	3,164942E-14
4,906	3,216375E-14
4,938	3,297645E-14
4,969	3,480884E-14
5,000	3,780034E-14
5,031	4,133088E-14
5,063	4,392654E-14
5,094	4,412857E-14
5,125	4,221489E-14
5,156	3,982826E-14
5,188	3,799767E-14
5,219	3,682843E-14
5,250	3,646543E-14
5,281	3,724408E-14
5,313	3,921583E-14
5,344	4,175103E-14
5,375	4,338366E-14
5,406	4,268979E-14
5,438	3,999397E-14
5,469	3,766393E-14
5,500	3,781576E-14
5,531	3,992682E-14
5,563	4,159400E-14
5,594	4,125904E-14
5,625	3,926698E-14
5,656	3,688470E-14
5,688	3,487724E-14
5,719	3,305491E-14
